age,sleep_hours,morning_freshness,screen_time,use_phone_before_sleep,stress_level,phone_anxiety,health_app_use,sleep_quality,phone_affects_sleep,screen_sleep_ratio,age_group,sleep_category,morning_freshness_encoded,use_phone_before_sleep_encoded,phone_anxiety_encoded,health_app_use_encoded,sleep_quality_encoded,phone_affects_sleep_encoded,age_scaled,sleep_hours_scaled,screen_time_scaled,stress_level_scaled,screen_sleep_ratio_scaled
21,7.0,yes,6.0,yes,3,no,no,good,yes,0.8571428571428571,19-25,low,2,1,0,0,1,2,0.15000000000000002,0.47368421052631576,0.24324324324324326,0.2222222222222222,0.08424908424908426
23,6.5,yes,12.0,yes,5,yes,no,good,not sure,1.8461538461538463,19-25,low,2,1,1,0,1,1,0.20000000000000007,0.4210526315789473,0.5675675675675675,0.4444444444444445,0.21104536489151876
20,6.0,no,14.0,yes,6,no,yes,bad,yes,2.3333333333333335,19-25,low,0,1,0,1,0,2,0.125,0.3684210526315789,0.6756756756756757,0.5555555555555556,0.27350427350427353
22,5.0,yes,3.5,yes,5,no,no,good,not sure,0.7,19-25,very_low,2,1,0,0,1,1,0.17500000000000004,0.2631578947368421,0.10810810810810811,0.4444444444444445,0.0641025641025641
20,5.0,no,7.0,yes,4,no,no,bad,not sure,1.4,19-25,very_low,0,1,0,0,0,1,0.125,0.2631578947368421,0.2972972972972973,0.3333333333333333,0.15384615384615385
21,6.0,yes,7.0,yes,5,no,yes,good,not sure,1.1666666666666667,19-25,low,2,1,0,1,1,1,0.15000000000000002,0.3684210526315789,0.2972972972972973,0.4444444444444445,0.12393162393162395
21,6.0,no,15.0,yes,5,yes,no,bad,yes,2.5,19-25,low,0,1,1,0,0,2,0.15000000000000002,0.3684210526315789,0.7297297297297298,0.4444444444444445,0.2948717948717949
22,6.0,no,5.0,yes,5,no,yes,bad,yes,0.8333333333333334,19-25,low,0,1,0,1,0,2,0.17500000000000004,0.3684210526315789,0.1891891891891892,0.4444444444444445,0.08119658119658121
18,6.0,yes,7.5,yes,5,no,no,good,no,1.25,<=18,low,2,1,0,0,1,0,0.07500000000000001,0.3684210526315789,0.32432432432432434,0.4444444444444445,0.13461538461538464
18,12.0,yes,12.0,yes,3,no,no,good,no,1.0,<=18,high,2,1,0,0,1,0,0.07500000000000001,1.0,0.5675675675675675,0.2222222222222222,0.10256410256410257
17,5.5,no,14.0,yes,7,yes,yes,good,yes,2.5454545454545454,<=18,low,0,1,1,1,1,2,0.050000000000000044,0.31578947368421056,0.6756756756756757,0.6666666666666665,0.30069930069930073
17,10.0,yes,4.0,yes,2,no,no,good,yes,0.4,<=18,high,2,1,0,0,1,2,0.050000000000000044,0.7894736842105263,0.13513513513513514,0.1111111111111111,0.025641025641025647
17,9.0,yes,6.0,yes,2,no,yes,good,no,0.6666666666666666,<=18,adequate,2,1,0,1,1,0,0.050000000000000044,0.6842105263157894,0.24324324324324326,0.1111111111111111,0.059829059829059825
18,8.0,yes,2.0,yes,7,no,yes,good,yes,0.25,<=18,adequate,2,1,0,1,1,2,0.07500000000000001,0.5789473684210527,0.02702702702702703,0.6666666666666665,0.006410256410256408
17,7.5,yes,5.0,yes,10,no,no,good,not sure,0.6666666666666666,<=18,adequate,2,1,0,0,1,1,0.050000000000000044,0.5263157894736843,0.1891891891891892,1.0,0.059829059829059825
17,7.0,yes,10.0,yes,7,no,no,good,yes,1.4285714285714286,<=18,low,2,1,0,0,1,2,0.050000000000000044,0.47368421052631576,0.4594594594594595,0.6666666666666665,0.1575091575091575
18,7.5,no,17.0,yes,7,no,no,bad,yes,2.2666666666666666,<=18,adequate,0,1,0,0,0,2,0.07500000000000001,0.5263157894736843,0.8378378378378379,0.6666666666666665,0.26495726495726496
